customer_id,created_date,canceled_date,subscription_cost,subscription_interval,was_subscription_paid,is_churned,tenure_days,cohort_month,end_date,months_active,is_paid,signup_month,signup_day,signup_dow,churn_bucket,cancel_month
154536156,2022-09-01,,39,month,Yes,0,372,2022-09,2023-09-08,12,1,9,1,3,8. 365+ days,
149713408,2022-09-01,2022-09-02,39,month,No,1,1,2022-09,2022-09-02,0,0,9,1,3,1. 0-7 days,2022-09
153756284,2022-09-01,2022-09-02,39,month,No,1,1,2022-09,2022-09-02,0,0,9,1,3,1. 0-7 days,2022-09
121253113,2022-09-01,2022-09-23,39,month,Yes,1,22,2022-09,2022-09-23,0,1,9,1,3,3. 15-30 days,2022-09
154467210,2022-09-01,2023-06-29,39,month,Yes,1,301,2022-09,2023-06-29,9,1,9,1,3,7. 181+ days,2023-06
154510811,2022-09-01,2023-05-08,39,month,Yes,1,249,2022-09,2023-05-08,8,1,9,1,3,7. 181+ days,2023-05
154494346,2022-09-01,2022-11-26,39,month,Yes,1,86,2022-09,2022-11-26,2,1,9,1,3,5. 61-90 days,2022-11
148671505,2022-09-01,2022-11-23,39,month,Yes,1,83,2022-09,2022-11-23,2,1,9,1,3,5. 61-90 days,2022-11
154568379,2022-09-01,2022-10-25,39,month,Yes,1,54,2022-09,2022-10-25,1,1,9,1,3,4. 31-60 days,2022-10
154428434,2022-09-01,2022-10-31,39,month,Yes,1,60,2022-09,2022-10-31,1,1,9,1,3,4. 31-60 days,2022-10
154601651,2022-09-01,2022-09-26,39,month,Yes,1,25,2022-09,2022-09-26,0,1,9,1,3,3. 15-30 days,2022-09
122824692,2022-09-01,2022-09-15,39,month,Yes,1,14,2022-09,2022-09-15,0,1,9,1,3,2. 8-14 days,2022-09
152925600,2022-09-02,,39,month,Yes,0,371,2022-09,2023-09-08,12,1,9,2,4,8. 365+ days,
151154171,2022-09-02,2022-09-02,39,month,Yes,1,0,2022-09,2022-09-02,0,1,9,2,4,,2022-09
154640950,2022-09-02,2022-12-09,39,month,Yes,1,98,2022-09,2022-12-09,3,1,9,2,4,6. 91-180 days,2022-12
154617329,2022-09-02,2022-10-27,39,month,Yes,1,55,2022-09,2022-10-27,1,1,9,2,4,4. 31-60 days,2022-10
154089211,2022-09-02,2022-10-09,39,month,Yes,1,37,2022-09,2022-10-09,1,1,9,2,4,4. 31-60 days,2022-10
154653820,2022-09-02,2022-09-26,39,month,Yes,1,24,2022-09,2022-09-26,0,1,9,2,4,3. 15-30 days,2022-09
154131290,2022-09-03,,39,month,Yes,0,370,2022-09,2023-09-08,12,1,9,3,5,8. 365+ days,
154434009,2022-09-03,,39,month,Yes,0,370,2022-09,2023-09-08,12,1,9,3,5,8. 365+ days,
136108848,2022-09-03,2022-09-04,39,month,Yes,1,1,2022-09,2022-09-04,0,1,9,3,5,1. 0-7 days,2022-09
135185873,2022-09-03,2023-05-10,39,month,Yes,1,249,2022-09,2023-05-10,8,1,9,3,5,7. 181+ days,2023-05
154592664,2022-09-03,2023-04-01,39,month,Yes,1,210,2022-09,2023-04-01,7,1,9,3,5,7. 181+ days,2023-04
119436804,2022-09-03,2023-04-10,39,month,Yes,1,219,2022-09,2023-04-10,7,1,9,3,5,7. 181+ days,2023-04
152929657,2022-09-03,2022-11-23,39,month,Yes,1,81,2022-09,2022-11-23,2,1,9,3,5,5. 61-90 days,2022-11
154708974,2022-09-03,2022-10-18,39,month,Yes,1,45,2022-09,2022-10-18,1,1,9,3,5,4. 31-60 days,2022-10
154567722,2022-09-03,2022-09-29,39,month,Yes,1,26,2022-09,2022-09-29,0,1,9,3,5,3. 15-30 days,2022-09
154719788,2022-09-03,2022-09-25,39,month,Yes,1,22,2022-09,2022-09-25,0,1,9,3,5,3. 15-30 days,2022-09
154809306,2022-09-04,2022-09-05,39,month,Yes,1,1,2022-09,2022-09-05,0,1,9,4,6,1. 0-7 days,2022-09
140391539,2022-09-04,2023-04-05,39,month,Yes,1,213,2022-09,2023-04-05,7,1,9,4,6,7. 181+ days,2023-04
153194806,2022-09-04,2023-04-16,39,month,Yes,1,224,2022-09,2023-04-16,7,1,9,4,6,7. 181+ days,2023-04
144402204,2022-09-04,2022-09-22,39,month,Yes,1,18,2022-09,2022-09-22,0,1,9,4,6,3. 15-30 days,2022-09
154747678,2022-09-04,2023-01-15,39,month,Yes,1,133,2022-09,2023-01-15,4,1,9,4,6,6. 91-180 days,2023-01
130939158,2022-09-04,2023-02-19,39,month,Yes,1,168,2022-09,2023-02-19,5,1,9,4,6,6. 91-180 days,2023-02
150912359,2022-09-04,2022-11-02,39,month,Yes,1,59,2022-09,2022-11-02,2,1,9,4,6,4. 31-60 days,2022-11
154132592,2022-09-04,2022-11-01,39,month,Yes,1,58,2022-09,2022-11-01,2,1,9,4,6,4. 31-60 days,2022-11
153368891,2022-09-04,2022-10-11,39,month,Yes,1,37,2022-09,2022-10-11,1,1,9,4,6,4. 31-60 days,2022-10
154225450,2022-09-05,,39,month,Yes,0,368,2022-09,2023-09-08,12,1,9,5,0,8. 365+ days,
154904040,2022-09-05,2022-09-06,39,month,Yes,1,1,2022-09,2022-09-06,0,1,9,5,0,1. 0-7 days,2022-09
127604200,2022-09-05,2022-10-06,39,month,Yes,1,31,2022-09,2022-10-06,1,1,9,5,0,4. 31-60 days,2022-10
154913576,2022-09-05,2023-03-13,39,month,Yes,1,189,2022-09,2023-03-13,6,1,9,5,0,7. 181+ days,2023-03
154910432,2022-09-05,2023-03-13,39,month,Yes,1,189,2022-09,2023-03-13,6,1,9,5,0,7. 181+ days,2023-03
